"q63","What is your current employment status?","n =  825"
"response","count","percent_responded"
"Employed full time (40 or more hours a week)","323","39.15"
"Retired","116","14.06"
"Unable to work","116","14.06"
"Employed part time (up to 39 hours a week)","101","12.24"
"Self-employed","72","8.73"
"Unemployed and currently looking for work","40","4.85"
"Prefer not to answer","20","2.42"
"Homemaker","17","2.06"
"Student","10","1.21"
"Unemployed and not currently looking for work","9","1.09"
"Response","1","0.12"
