Q#74,What was the highest pay grade/rank achieved at the time of formal discharge?,
,,
response,count,percent_all
E4,84,14.87%
E5,80,14.16%
E-4,38,6.73%
E-5,37,6.55%
E3,33,5.84%
E6,23,4.07%
E-6,15,2.65%
E-3,13,2.30%
e4,10,1.77%
E7,8,1.42%
e-4,7,1.24%
e5,6,1.06%
E8,6,1.06%
E2,5,0.88%
e3,5,0.88%
E-2,4,0.71%
E1,4,0.71%
PFC,4,0.71%
Sgt,4,0.71%
E-7,3,0.53%
E-8,3,0.53%
E6/SSG,3,0.53%
Lance Corporal,3,0.53%
O4,3,0.53%
Sargent,3,0.53%
Sergeant,3,0.53%
SGT,3,0.53%
Specialist,3,0.53%
1LT,2,0.35%
Captain,2,0.35%
Colonel,2,0.35%
Corporal,2,0.35%
Cpl,2,0.35%
CW02,2,0.35%
e-3,2,0.35%
E-6/SSG,2,0.35%
E 4,2,0.35%
e2,2,0.35%
e6,2,0.35%
E7/SFC ,2,0.35%
Lcpl,2,0.35%
Pretty high,2,0.35%
Private,2,0.35%
sgt,2,0.35%
Spc,2,0.35%
Spec5,2,0.35%
SSG/E6,2,0.35%
Ssgt ,2,0.35%
TSgt,2,0.35%
0-4,1,0.18%
2,1,0.18%
4,1,0.18%
04/lcdr,1,0.18%
1SG,1,0.18%
4,1,0.18%
5,1,0.18%
5 Star General,1,0.18%
a,1,0.18%
A1C,1,0.18%
AIR FORCE CADET,1,0.18%
AW 2nd class,1,0.18%
Cheif,1,0.18%
cpl,1,0.18%
CPL.,1,0.18%
Cw3,1,0.18%
CW3,1,0.18%
CW3 W3,1,0.18%
E-0,1,0.18%
E-1,1,0.18%
E-2/PFC,1,0.18%
e-4/mm3,1,0.18%
E-4/SPC,1,0.18%
e-5,1,0.18%
E-5 ,1,0.18%
E-5 BT2,1,0.18%
E-5 P.,1,0.18%
E-5 sergeant ,1,0.18%
E-5 SGT,1,0.18%
E-5/GS-11,1,0.18%
E-5/Sergeant,1,0.18%
E-5/SGT,1,0.18%
E-6 staff Sargent ,1,0.18%
E-6/Technical Sergeant,1,0.18%
E-7 SFC,1,0.18%
E-8/First Sergeant,1,0.18%
E-9,1,0.18%
E 5,1,0.18%
E/3,1,0.18%
E4 spc,1,0.18%
E4 specialist/corporal,1,0.18%
E4/Specialist,1,0.18%
E4P,1,0.18%
E5/SGT,1,0.18%
E6/Staff Sargent,1,0.18%
E8/1SG,1,0.18%
First Sergeant/E8,1,0.18%
GS12/6,1,0.18%
Ha ha,1,0.18%
L/cpl,1,0.18%
LCDR,1,0.18%
Lt,1,0.18%
Lt. USN,1,0.18%
Major,1,0.18%
Major O-4,1,0.18%
MSG,1,0.18%
MSG/E8,1,0.18%
MSgt/E-7,1,0.18%
N/a,1,0.18%
N/A,1,0.18%
na,1,0.18%
Nco,1,0.18%
none,1,0.18%
O-3,1,0.18%
O-4,1,0.18%
O-5/Lt Col,1,0.18%
O3,1,0.18%
O3-E,1,0.18%
O6,1,0.18%
O6.  Col,1,0.18%
Petty officer 1st class,1,0.18%
PFC E-3,1,0.18%
prefer not to answer,1,0.18%
prefer not to say,1,0.18%
ROTC CADET E5,1,0.18%
S7,1,0.18%
sargeant,1,0.18%
Sargent-field promotion,1,0.18%
Seaman,1,0.18%
Sergeant ,1,0.18%
Sergeant E5,1,0.18%
Sergeant/ E-5,1,0.18%
Sgt  E5,1,0.18%
SGT E-5,1,0.18%
sgt E5,1,0.18%
Sgt e5,1,0.18%
SGT E5,1,0.18%
Sgt.,1,0.18%
Sgt. E-4,1,0.18%
Sgt. E-5,1,0.18%
SGT/E5,1,0.18%
Sp/4,1,0.18%
Sp4,1,0.18%
spc,1,0.18%
"Spc4, I was offered chief by Pompey and I threatened him and that fat fuck had me pickled, I gonna kill him Mike Pompeo he's got my hat too that we argued over.",1,0.18%
Spec-5,1,0.18%
Spec 5,1,0.18%
Specialist ,1,0.18%
Specialist 4,1,0.18%
Ssg,1,0.18%
SSG,1,0.18%
SSG army,1,0.18%
SSG/E-6,1,0.18%
Ssg/E6,1,0.18%
SSgt ,1,0.18%
Ssgt E5,1,0.18%
Staff Sergeant,1,0.18%
Staff sergeant ,1,0.18%
test,1,0.18%
Unkown,1,0.18%
